culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,species
39.1,18.7,181,3750,MALE,Adelie
39.5,17.4,186,3800,FEMALE,Adelie
,18,195,3250,FEMALE,Adelie
NA,NA,NA,NA,NA,Adelie
36.7,19.3,193,3450,FEMALE,Adelie
39.3,20.6,190,3650,MALE,Adelie
38.9,17.8,181,3625,FEMALE,Adelie
,19.6,195,4675,MALE,Adelie
34.1,18.1,193,3475,NA,Adelie
42,20.2,190,4250,NA,Adelie
37.8,17.1,186,3300,NA,Adelie
,17.3,180,3700,NA,Adelie
41.1,17.6,182,3200,FEMALE,Adelie
,21.2,191,3800,MALE,Adelie
34.6,21.1,198,4400,MALE,Adelie
,17.8,185,3700,FEMALE,Adelie
38.7,19,195,3450,FEMALE,Adelie
42.5,20.7,197,4500,MALE,Adelie
,18.4,184,3325,FEMALE,Adelie
,21.5,194,4200,MALE,Adelie
37.8,18.3,174,3400,FEM,Adelie
37.7,18.7,180,3600,MALE,Adelie
35.9,19.2,189,3800,FEMALE,Adelie
38.2,18.1,185,3950,MALE,Adelie
38.8,17.2,180,3800,MALE,Adelie
,18.9,187,3800,FEMALE,Adelie
40.6,18.6,183,3550,MALE,Adelie
40.5,17.9,187,3200,FEMALE,Adelie
37.9,18.6,172,3150,FEMALE,Adelie
,18.9,180,3950,MALE,Adelie
39.5,16.7,178,3250,FEMALE,Adelie
37.2,18.1,178,3900,MALE,Adelie
,17.8,188,3300,FEMALE,Adelie
40.9,18.9,184,3900,MALE,Adelie
,17,195,3325,FEMALE,Adelie
,21.1,196,4150,MALE,Adelie
38.8,20,190,3950,MALE,Adelie
42.2,18.5,180,3550,FEMALE,Adelie
37.6,19.3,181,3300,FEMALE,Adelie
39.8,19.1,184,4650,MALE,Adelie
36.5,18,182,3150,FEMALE,Adelie
40.8,18.4,195,3900,MALE,Adelie
36,18.5,186,3100,FEMALE,Adelie
44.1,19.7,196,4400,MALE,Adelie
37,16.9,185,3000,FEMALE,Adelie
39.6,18.8,190,4600,MALE,Adelie
41.1,19,182,3425,MALE,Adelie
37.5,18.9,179,2975,NA,Adelie
36,17.9,190,3450,FEMALE,Adelie
42.3,21.2,191,4150,MA,Adelie
39.6,17.7,186,3500,FEMALE,Adelie
40.1,18.9,188,4300,MALE,Adelie
35,17.9,190,3450,FEMALE,Adelie
42,19.5,200,4050,MALE,Adelie
34.5,18.1,187,2900,FEMALE,Adelie
41.4,18.6,191,3700,MALE,Adelie
39,17.5,186,3550,FEMALE,Adelie
40.6,18.8,193,3800,MALE,Adelie
36.5,16.6,181,2850,FEMALE,Adelie
37.6,19.1,194,3750,MALE,Adelie
35.7,16.9,185,3150,FEMALE,Adelie
41.3,21.1,195,4400,MALE,Adelie
37.6,17,185,3600,FEMALE,Adelie
41.1,18.2,192,4050,MALE,Adelie
36.4,17.1,184,2850,FEMALE,Adelie
41.6,18,192,3950,MALE,Adelie
35.5,16.2,195,3350,FEMALE,Adelie
41.1,19.1,188,4100,MALE,Adelie
35.9,16.6,190,3050,FEMALE,Adelie
41.8,19.4,198,4450,MALE,Adelie
33.5,19,190,3600,FEMALE,Adelie
39.7,18.4,190,3900,MALE,Adelie
39.6,17.2,196,3550,FEMALE,Adelie
45.8,18.9,197,4150,MALE,Adelie
35.5,17.5,190,3700,FEMALE,Adelie
42.8,18.5,195,4250,MALE,Adelie
40.9,16.8,191,3700,FEMALE,Adelie
37.2,19.4,184,3900,MALE,Adelie
36.2,16.1,187,3550,FEMALE,Adelie
42.1,19.1,195,4000,M,Adelie
34.6,17.2,189,3200,FEMALE,Adelie
42.9,17.6,196,4700,MALE,Adelie
36.7,18.8,187,3800,FEMALE,Adelie
35.1,19.4,193,4200,MALE,Adelie
37.3,17.8,191,3350,FEMALE,Adelie
41.3,20.3,194,3550,MALE,Adelie
36.3,19.5,190,3800,MALE,Adelie
36.9,18.6,189,3500,FEMALE,Adelie
38.3,19.2,189,3950,MALE,Adelie
38.9,18.8,190,3600,FEMALE,Adelie
35.7,18,202,3550,FEMALE,Adelie
41.1,18.1,205,4300,MALE,Adelie
34,17.1,185,3400,FEMALE,Adelie
39.6,18.1,186,4450,MALE,Adelie
36.2,17.3,187,3300,FEMALE,Adelie
40.8,18.9,208,4300,MALE,Adelie
38.1,18.6,190,3700,FEMALE,Adelie
40.3,18.5,196,4350,MALE,Adelie
33.1,16.1,178,2900,FEM,Adelie
43.2,18.5,192,4100,MALE,Adelie
35,17.9,192,3725,FEMALE,Adelie
41,20,203,4725,MALE,Adelie
37.7,16,183,3075,FEMALE,Adelie
37.8,20,190,4250,MALE,Adelie
37.9,18.6,193,2925,FEMALE,Adelie
39.7,18.9,184,3550,MALE,Adelie
38.6,17.2,199,3750,FEMALE,Adelie
38.2,20,190,3900,MALE,Adelie
38.1,17,181,3175,FEMALE,Adelie
43.2,19,197,4775,MALE,Adelie
38.1,16.5,198,3825,FEMALE,Adelie
45.6,20.3,191,4600,MALE,Adelie
39.7,17.7,193,3200,FEMALE,Adelie
42.2,19.5,197,4275,MALE,Adelie
39.6,20.7,191,3900,FEMALE,Adelie
42.7,18.3,196,4075,MALE,Adelie
38.6,17,188,2900,FEMALE,Adelie
37.3,20.5,199,3775,MALE,Adelie
35.7,17,189,3350,FEMALE,Adelie
41.1,18.6,189,3325,MALE,Adelie
36.2,17.2,187,3150,FEMALE,Adelie
37.7,19.8,198,3500,MALE,Adelie
40.2,17,176,3450,FEMALE,Adelie
41.4,18.5,202,3875,MALE,Adelie
35.2,15.9,186,3050,FEMALE,Adelie
40.6,19,199,4000,MALE,Adelie
38.8,17.6,191,3275,FEMALE,Adelie
41.5,18.3,195,4300,MALE,Adelie
39,17.1,191,3050,FEMALE,Adelie
44.1,18,210,4000,MALE,Adelie
38.5,17.9,190,3325,FEMALE,Adelie
43.1,19.2,197,3500,MALE,Adelie
36.8,18.5,193,3500,FEMALE,Adelie
37.5,18.5,199,4475,MALE,Adelie
38.1,17.6,187,3425,FEMALE,Adelie
41.1,17.5,190,3900,MALE,Adelie
35.6,17.5,191,3175,FEMALE,Adelie
40.2,20.1,200,3975,MALE,Adelie
37,16.5,185,3400,FEMALE,Adelie
39.7,17.9,193,4250,MALE,Adelie
40.2,17.1,193,3400,FEMALE,Adelie
40.6,17.2,187,3475,MALE,Adelie
32.1,15.5,188,3050,FEMALE,Adelie
40.7,17,190,3725,MALE,Adelie
37.3,16.8,192,3000,FEMALE,Adelie
39,18.7,185,3650,MALE,Adelie
39.2,18.6,190,4250,MALE,Adelie
36.6,18.4,184,3475,FEMALE,Adelie
36,17.8,195,3450,FEMALE,Adelie
37.8,18.1,193,3750,MALE,Adelie
36,17.1,187,3700,FEMALE,Adelie
41.5,18.5,201,4000,MALE,Adelie
46.5,,192,3500,FEMALE,Chinstrap
50,,196,3900,MALE,Chinstrap
51.3,,193,3650,MALE,Chinstrap
150,,188,3525,FEMALE,Chinstrap
52.7,,197,3725,MALE,Chinstrap
45.2,,198,3950,FEMALE,Chinstrap
46.1,,178,3250,FEMALE,Chinstrap
51.3,,197,3750,MALE,Chinstrap
46.4,,191,3700,FEMALE,Chinstrap
160,,205,4550,MALE,Chinstrap
40.9,,187,3200,FEMALE,Chinstrap
46.1,13.2,211,4500,FEMALE,Gentoo
50,16.3,230,5700,MALE,Gentoo
48.7,14.1,210,4450,FEMALE,Gentoo
50,15.2,218,5700,MALE,Gentoo
47.6,14.5,215,5400,MALE,Gentoo
46.5,13.5,210,4550,FEMALE,Gentoo
45.4,14.6,211,4800,FEMALE,Gentoo
46.7,,219,5200,MALE,Gentoo
43.3,,209,4400,FEMALE,Gentoo
46.8,,215,5150,MALE,Gentoo
40.9,,214,4650,FEMALE,Gentoo
49,,216,5550,MALE,Gentoo
45.5,,214,4650,FEMALE,Gentoo
48.4,,213,5850,MALE,Gentoo
45.8,,210,4200,FEMALE,Gentoo
49.3,,217,5850,MALE,Gentoo
42,,210,4150,FEMALE,Gentoo
49.2,,221,6300,MALE,Gentoo
46.2,14.5,209,4800,FEMALE,Gentoo
48.7,15.1,222,5350,MALE,Gentoo
50.2,14.3,218,5700,MALE,Gentoo
45.1,14.5,215,5000,FEMALE,Gentoo
46.5,14.5,213,4400,FEMALE,Gentoo
46.3,15.8,215,5050,MALE,Gentoo
42.9,13.1,215,5000,FEMALE,Gentoo
46.1,15.1,215,5100,MALE,Gentoo
44.5,14.3,216,4100,NA,Gentoo
47.8,15,215,5650,MALE,Gentoo
48.2,14.3,210,4600,FEMALE,Gentoo
50,15.3,220,5550,MALE,Gentoo
47.3,15.3,222,5250,MALE,Gentoo
42.8,14.2,209,4700,FEMALE,Gentoo
45.1,,207,5050,FEMALE,Gentoo
59.6,,230,6050,MALE,Gentoo
49.1,,220,5150,FEMALE,Gentoo
48.4,,220,5400,MALE,Gentoo
42.6,,213,4950,FEMALE,Gentoo
44.4,,219,5250,MALE,Gentoo
44,,208,4350,FEMALE,Gentoo
48.7,,208,5350,MALE,Gentoo
42.7,,208,3950,FEMALE,Gentoo
49.6,,225,5700,MALE,Gentoo
45.3,,210,4300,FEMALE,Gentoo
49.6,,216,4750,MA,Gentoo
50.5,,222,5550,MALE,Gentoo
43.6,,217,4900,FEMALE,Gentoo
45.5,,210,4200,FEMALE,Gentoo
50.5,,225,5400,MALE,Gentoo
44.9,13.3,213,5100,FEMALE,Gentoo
45.2,15.8,215,5300,MALE,Gentoo
46.6,14.2,210,4850,FEMALE,Gentoo
48.5,14.1,220,5300,MALE,Gentoo
45.1,14.4,210,4400,FEMALE,Gentoo
50.1,15,225,5000,MALE,Gentoo
46.5,14.4,217,4900,FEMALE,Gentoo
45,15.4,220,5050,MALE,Gentoo
43.8,13.9,208,4300,FEMALE,Gentoo
45.5,15,220,5000,MALE,Gentoo
43.2,,208,4450,FEMALE,Gentoo
50.4,,224,5550,MALE,Gentoo
45.3,,208,4200,FEMALE,Gentoo
46.2,,221,5300,MALE,Gentoo
45.7,,214,4400,FEMALE,Gentoo
54.3,,231,5650,MALE,Gentoo
45.8,,219,4700,FEMALE,Gentoo
49.8,,230,5700,MALE,Gentoo
46.2,,214,4650,NA,Gentoo
49.5,,229,5800,MALE,Gentoo
43.5,,220,4700,FEMALE,Gentoo
50.7,,223,5550,MALE,Gentoo
47.7,15,216,4750,FEMALE,Gentoo
46.4,15.6,221,5000,MALE,Gentoo
48.2,15.6,221,5100,MALE,Gentoo
46.5,14.8,217,5200,FEMALE,Gentoo
46.4,15,216,4700,FEMALE,Gentoo
48.6,16,230,5800,MALE,Gentoo
47.5,14.2,209,4600,FEMALE,Gentoo
51.1,16.3,220,6000,MALE,Gentoo
45.2,13.8,215,4750,FEMALE,Gentoo
45.2,16.4,223,5950,MALE,Gentoo
49.1,14.5,212,4625,FEMALE,Gentoo
52.5,15.6,221,5450,MALE,Gentoo
47.4,14.6,212,4725,FEMALE,Gentoo
50,15.9,224,5350,MALE,Gentoo
44.9,13.8,212,4750,FEMALE,Gentoo
50.8,17.3,228,5600,MALE,Gentoo
43.4,14.4,218,4600,FEMALE,Gentoo
51.3,14.2,218,5300,MALE,Gentoo
47.5,14,212,4875,FEMALE,Gentoo
52.1,17,230,5550,MALE,Gentoo
47.5,,218,4950,FEMALE,Gentoo
52.2,,228,5400,MALE,Gentoo
45.5,,212,4750,FEMALE,Gentoo
49.5,,224,5650,MALE,Gentoo
44.5,,214,4850,FEMALE,Gentoo
50.8,,226,5200,MALE,Gentoo
49.4,,216,4925,MALE,Gentoo
46.9,,222,4875,FEMALE,Gentoo
48.4,,203,4625,FEMALE,Gentoo
51.1,,225,5250,MALE,Gentoo
48.5,,219,4850,FEMALE,Gentoo
55.9,,228,5600,MALE,Gentoo
47.2,,215,4975,FEMALE,Gentoo
49.1,,228,5500,MALE,Gentoo
47.3,,216,4725,NA,Gentoo
46.8,,215,5500,MALE,Gentoo
41.7,,210,4700,FEMALE,Gentoo
53.4,,219,5500,MALE,Gentoo
170,,208,4575,FEMALE,Gentoo
48.1,,209,5500,MALE,Gentoo
50.5,,216,5000,FEMALE,Gentoo
49.8,,229,5950,MALE,Gentoo
43.5,,213,4650,FEMALE,Gentoo
51.5,,230,5500,MALE,Gentoo
3000,,1000,4375,FEMALE,Gentoo
55.1,,230,5850,MALE,Gentoo
150,,217,4875,.,Gentoo
48.8,,222,6000,MALE,Gentoo
47.2,,214,4925,FEMALE,Gentoo
NA,NA,NA,NA,NA,Gentoo
46.8,14.3,215,4850,FEMALE,Gentoo
50.4,15.7,222,5750,MALE,Gentoo
130,14.8,212,5200,FEMALE,Gentoo
49.9,16.1,213,5400,MALE,Gentoo